회사명,제목,링크,지역,연봉정보,마감일,직무분야,카테고리
한국전자기술연구원,한국전자기술연구원 전문계약직 연구원 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49569138&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,경기 성남시 분당구,생산 스크랩 TOP100,~ 12/17(화),"Python, C++, Java, 딥러닝, 머신러닝 외                    수정일 24/12/11","['Python', 'C++', 'Java', '딥러닝', '머신러닝 외                    수정일 24/12/11']"
엔에이치농협캐피탈(주),2025년 NH농협캐피탈 신규직원[신입·경력] 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523319&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,전국,기획·전략 지원 TOP100,~ 12/16(월),"Python, C++, Java, 웹개발, 데이터분석가 외                    수정일 24/12/05","['Python', 'C++', 'Java', '웹개발', '데이터분석가 외                    수정일 24/12/05']"
메리츠화재해상보험(주),2024년 메리츠화재 하반기 각 부문별 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525317&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울전체,회계·세무·재무 지원 TOP100,~ 12/18(수),"Python, Java, Linux, SE(시스템엔지니어), STT 외                    수정일 24/12/05","['Python', 'Java', 'Linux', 'SE(시스템엔지니어)', 'STT 외                    수정일 24/12/05']"
(주)현대퓨처넷,현대퓨처넷 2025년 상반기 각 부문 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49571285&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 강남구,기획·전략 지원 TOP100,~ 12/23(월),"Python, C++, Java, AWS, Linux 외                    수정일 24/12/12","['Python', 'C++', 'Java', 'AWS', 'Linux 외                    수정일 24/12/12']"
제닉스(주),제닉스(주) 각 부문별 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49562355&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,충남 천안시 서북구,마케팅·홍보·조사 지원 TOP100,~ 12/24(화),"Python, C++, Java, Linux, 기술지원 외                    수정일 24/12/10","['Python', 'C++', 'Java', 'Linux', '기술지원 외                    수정일 24/12/10']"
앰코테크놀로지코리아㈜,2024년 하반기 신입/경력사원 공채,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49567318&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,인천 연수구,건설·건축 스크랩 TOP100,~ 12/29(일),"Python, Java, Linux, 데이터엔지니어, 앱개발 외                    수정일 24/12/12","['Python', 'Java', 'Linux', '데이터엔지니어', '앱개발 외                    수정일 24/12/12']"
(주)싸이노스,[삼성반도체 1차 협력사] 사무/연구직 수시 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49485390&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,경기 화성시,운전·운송·배송 지원 TOP100,~ 12/31(화),"Python, 데이터분석가, 보안컨설팅, 정보보안, 세무사 외                    수정일 24/12/02","['Python', '데이터분석가', '보안컨설팅', '정보보안', '세무사 외                    수정일 24/12/02']"
(주)영신디엔씨,㈜영신디엔씨 각 부문 신입 및 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534588&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 서초구,건설·건축 스크랩 TOP100,~ 12/18(수),"Python, Java, H/W, S/W, CSS 외                    수정일 24/12/09","['Python', 'Java', 'H/W', 'S/W', 'CSS 외                    수정일 24/12/09']"
(주)비상교육,[주 3일 원격근무] 비상교육 전체직무 상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49509463&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,경기 과천시,디자인 지원 TOP100,~ 12/31(화),"Python, Java, AWS, Linux, 백엔드/서버개발 외                    수정일 24/12/02","['Python', 'Java', 'AWS', 'Linux', '백엔드/서버개발 외                    수정일 24/12/02']"
청오디피케이(주),도미노피자 각 부문(자회사 포함) 공개 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49518346&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 강남구,교육 지원 TOP100,~ 12/27(금),"Python, Java, AWS, Linux, 빅데이터 외                    수정일 24/12/04","['Python', 'Java', 'AWS', 'Linux', '빅데이터 외                    수정일 24/12/04']"
(주)케이엘넷,각 부문 신입/경력 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49529556&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 강남구,상품기획·MD 지원 TOP100,~ 12/16(월),"Python, Java, 빅데이터, 웹개발, 데이터분석가 외                    수정일 24/12/13","['Python', 'Java', '빅데이터', '웹개발', '데이터분석가 외                    수정일 24/12/13']"
(주)미래엔,각 부문 경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49572007&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 서초구,상품기획·MD 지원 TOP100,~ 12/17(화),"Python, Java, 솔루션, AWS, Linux 외                    수정일 24/12/11","['Python', 'Java', '솔루션', 'AWS', 'Linux 외                    수정일 24/12/11']"
(주)위즈코리아,"㈜위즈코리아/㈜위즈COK SE(시스템 엔지니어), PM 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49536432&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 강서구,인기있는,~ 12/31(화),"Python, C++, Java, 솔루션, Linux 외                    수정일 24/12/05","['Python', 'C++', 'Java', '솔루션', 'Linux 외                    수정일 24/12/05']"
(주)대일시스템,2024년 각 부문 하반기 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49554588&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,경기 용인시 처인구,고객상담·TM 조회 TOP100,~ 01/12(일),"Python, 기술지원, 유지보수, 알고리즘, 정보통신 외                    수정일 24/12/09","['Python', '기술지원', '유지보수', '알고리즘', '정보통신 외                    수정일 24/12/09']"
(주)DB하이텍,[DB하이텍 & DB글로벌칩] 경력사원 공개채용 (12월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49585114&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,경기 부천시,오늘 뜬,~ 01/12(일),"Python, C++, Java, 머신러닝, 빅데이터 외                    수정일 24/12/13","['Python', 'C++', 'Java', '머신러닝', '빅데이터 외                    수정일 24/12/13']"
코리안리재보험(주),코리안리재보험㈜ 2025 상반기 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49573207&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 종로구,금융·보험 스크랩 TOP100,~ 12/20(금),"Python, AWS, 기술지원, 유지보수, 정보보안 외                    수정일 24/12/12","['Python', 'AWS', '기술지원', '유지보수', '정보보안 외                    수정일 24/12/12']"
